Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	microtubule cytoskeleton organization involved in mitosis (GO:1902850)	8/128	2.566193e-07	1.975969e-04	0	0	1.433333e+01	2.175180e+02	CENPE;BIRC5;CDCA8;WDR62;CENPA;NDC80;SKA1;MAD2L1
GO_Biological_Process_2021	mitotic spindle organization (GO:0007052)	8/157	1.217454e-06	4.687198e-04	0	0	1.152670e+01	1.569792e+02	CENPE;BIRC5;CDCA8;WDR62;CENPA;NDC80;SKA1;MAD2L1
GO_Biological_Process_2021	kinetochore organization (GO:0051383)	3/13	3.344768e-05	8.584906e-03	0	0	6.151546e+01	6.339493e+02	CENPE;CENPA;NDC80
GO_Biological_Process_2021	regulation of cyclin-dependent protein kinase activity (GO:1904029)	4/54	1.535841e-04	2.956493e-02	0	0	1.654167e+01	1.452567e+02	CCNA2;BLM;CCNE1;CDC25A
GO_Biological_Process_2021	establishment of mitotic spindle orientation (GO:0000132)	3/24	2.274364e-04	3.502521e-02	0	0	2.927688e+01	2.455932e+02	CENPA;NDC80;MAD2L1
GO_Biological_Process_2021	cell cycle G1/S phase transition (GO:0044843)	4/63	2.794973e-04	3.586883e-02	0	0	1.401201e+01	1.146535e+02	CCNA2;NASP;CCNE1;CDC25A
GO_Biological_Process_2021	establishment of mitotic spindle localization (GO:0040001)	3/29	4.032210e-04	3.623870e-02	0	0	2.364076e+01	1.847768e+02	CENPA;NDC80;MAD2L1
GO_Biological_Process_2021	establishment of spindle orientation (GO:0051294)	3/30	4.464025e-04	3.623870e-02	0	0	2.276403e+01	1.756083e+02	CENPA;NDC80;MAD2L1
GO_Biological_Process_2021	positive regulation of mitotic cell cycle spindle assembly checkpoint (GO:0090267)	2/7	5.113328e-04	3.623870e-02	0	0	8.120408e+01	6.154043e+02	NDC80;MAD2L1
GO_Biological_Process_2021	positive regulation of spindle checkpoint (GO:0090232)	2/7	5.113328e-04	3.623870e-02	0	0	8.120408e+01	6.154043e+02	NDC80;MAD2L1
GO_Biological_Process_2021	mitotic nuclear division (GO:0140014)	4/74	5.176958e-04	3.623870e-02	0	0	1.180357e+01	8.930727e+01	KIF18B;UBE2S;CDCA8;NDC80
GO_Biological_Process_2021	mitotic cell cycle phase transition (GO:0044772)	6/209	6.390434e-04	3.737046e-02	0	0	6.193376e+00	4.555561e+01	CCNA2;NASP;UBE2S;CCNE1;FOXM1;CDC25A
GO_Biological_Process_2021	sister chromatid segregation (GO:0000819)	3/34	6.484839e-04	3.737046e-02	0	0	1.982275e+01	1.455163e+02	KIF18B;CDCA8;NDC80
GO_Biological_Process_2021	regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	4/82	7.633075e-04	3.737046e-02	0	0	1.058868e+01	7.600392e+01	CCNA2;BLM;CCNE1;CDC25A
GO_Biological_Process_2021	centromere complex assembly (GO:0034508)	3/37	8.329374e-04	3.737046e-02	0	0	1.807095e+01	1.281330e+02	CENPE;NASP;CENPA
GO_Biological_Process_2021	histone phosphorylation (GO:0016572)	2/9	8.708672e-04	3.737046e-02	0	0	5.799708e+01	4.086487e+02	CCNA2;NEK11
GO_Biological_Process_2021	kinetochore assembly (GO:0051382)	2/9	8.708672e-04	3.737046e-02	0	0	5.799708e+01	4.086487e+02	CENPE;CENPA
GO_Biological_Process_2021	G1/S transition of mitotic cell cycle (GO:0000082)	4/85	8.735952e-04	3.737046e-02	0	0	1.019496e+01	7.180201e+01	CDC45;NASP;CCNE1;CDC25A
GO_Biological_Process_2021	regulation of exit from mitosis (GO:0007096)	3/39	9.726295e-04	3.941709e-02	0	0	1.706529e+01	1.183565e+02	ANLN;UBE2S;MAD2L1
GO_Biological_Process_2021	DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator (GO:0006978)	2/10	1.085038e-03	4.177398e-02	0	0	5.074490e+01	3.463918e+02	MUC1;FOXM1
GO_Biological_Process_2021	DNA damage response, signal transduction resulting in transcription (GO:0042772)	2/11	1.321840e-03	4.627854e-02	0	0	4.510431e+01	2.989843e+02	MUC1;FOXM1
GO_Biological_Process_2021	regulation of cell cycle phase transition (GO:1901987)	4/95	1.322244e-03	4.627854e-02	0	0	9.070055e+00	6.012018e+01	UBE2S;GTSE1;MAD2L1;NEK11
GO_Biological_Process_2021	attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	2/12	1.581045e-03	5.072520e-02	0	0	4.059184e+01	2.618039e+02	CENPE;NDC80
GO_Biological_Process_2021	carnitine metabolic process (GO:0009437)	2/12	1.581045e-03	5.072520e-02	0	0	4.059184e+01	2.618039e+02	CROT;CRAT
GO_Biological_Process_2021	mitotic sister chromatid segregation (GO:0000070)	4/102	1.718651e-03	5.293446e-02	0	0	8.419218e+00	5.359855e+01	CENPE;KIF18B;CDCA8;NDC80
GO_Biological_Process_2021	regulation of mitotic cell cycle spindle assembly checkpoint (GO:0090266)	2/13	1.862428e-03	5.515652e-02	0	0	3.689981e+01	2.319476e+02	NDC80;MAD2L1
GO_Biological_Process_2021	mitotic metaphase plate congression (GO:0007080)	3/51	2.122296e-03	6.052475e-02	0	0	1.279124e+01	7.873335e+01	CENPE;CDCA8;NDC80
GO_Biological_Process_2021	regulation of protein serine/threonine kinase activity (GO:0071900)	4/111	2.340737e-03	6.329261e-02	0	0	7.707555e+00	4.668689e+01	CCNA2;BLM;CCNE1;CDC25A
GO_Biological_Process_2021	fatty acid beta-oxidation using acyl-CoA oxidase (GO:0033540)	2/15	2.490834e-03	6.329261e-02	0	0	3.121978e+01	1.871669e+02	CROT;CRAT
GO_Biological_Process_2021	medium-chain fatty acid metabolic process (GO:0051791)	2/15	2.490834e-03	6.329261e-02	0	0	3.121978e+01	1.871669e+02	CROT;CRAT
GO_Biological_Process_2021	regulation of mitotic cell cycle phase transition (GO:1901990)	5/188	2.548144e-03	6.329261e-02	0	0	5.670693e+00	3.386759e+01	ANLN;CENPE;UBE2S;MAD2L1;NEK11
GO_Biological_Process_2021	negative regulation of programmed cell death (GO:0043069)	7/381	3.026921e-03	7.283528e-02	0	0	3.929676e+00	2.279295e+01	FANK1;BNIP3L;WNT5A;BIRC5;ASNS;PSEN1;MAD2L1
GO_Biological_Process_2021	aspartate family amino acid metabolic process (GO:0009066)	2/19	4.004046e-03	9.342773e-02	0	0	2.386915e+01	1.317684e+02	ASNS;SLC25A13
GO_Biological_Process_2021	regulation of ubiquitin protein ligase activity (GO:1904666)	2/21	4.885387e-03	1.106397e-01	0	0	2.135446e+01	1.136379e+02	UBE2S;MAD2L1
GO_Biological_Process_2021	positive regulation of dendritic spine development (GO:0060999)	2/22	5.356497e-03	1.178429e-01	0	0	2.028571e+01	1.060830e+02	PSEN1;LRP8
GO_Biological_Process_2021	monocarboxylic acid metabolic process (GO:0032787)	4/143	5.782682e-03	1.236851e-01	0	0	5.923561e+00	3.052345e+01	BTD;ABAT;CROT;ME2
GO_Biological_Process_2021	DNA damage response, signal transduction by p53 class mediator (GO:0030330)	3/74	6.081442e-03	1.265597e-01	0	0	8.637578e+00	4.407336e+01	MUC1;FOXM1;GTSE1
GO_Biological_Process_2021	transition metal ion homeostasis (GO:0055076)	2/29	9.203097e-03	1.864838e-01	0	0	1.502116e+01	7.042245e+01	SLC40A1;CYBRD1
GO_Biological_Process_2021	CENP-A containing chromatin organization (GO:0061641)	2/30	9.828578e-03	1.892001e-01	0	0	1.448397e+01	6.695156e+01	NASP;CENPA
GO_Biological_Process_2021	CENP-A containing nucleosome assembly (GO:0034080)	2/30	9.828578e-03	1.892001e-01	0	0	1.448397e+01	6.695156e+01	NASP;CENPA
GO_Biological_Process_2021	negative regulation of apoptotic process (GO:0043066)	7/485	1.092451e-02	1.993856e-01	0	0	3.058307e+00	1.381360e+01	FANK1;BNIP3L;WNT5A;BIRC5;ASNS;PSEN1;MAD2L1
GO_Biological_Process_2021	chromatin remodeling at centromere (GO:0031055)	2/32	1.113452e-02	1.993856e-01	0	0	1.351701e+01	6.079551e+01	NASP;CENPA
GO_Biological_Process_2021	regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083)	2/32	1.113452e-02	1.993856e-01	0	0	1.351701e+01	6.079551e+01	CDC45;CCNE1
GO_Biological_Process_2021	regulation of apoptotic process (GO:0042981)	9/742	1.199440e-02	2.099019e-01	0	0	2.586136e+00	1.143929e+01	FGD3;FANK1;BNIP3L;WNT5A;BIRC5;ASNS;PSEN1;LRP8;MAD2L1
GO_Biological_Process_2021	regulation of mitotic cell cycle (GO:0007346)	4/178	1.226927e-02	2.099408e-01	0	0	4.723659e+00	2.078721e+01	UBE2S;ASNS;MAD2L1;NEK11
GO_Biological_Process_2021	DNA metabolic process (GO:0006259)	5/277	1.273402e-02	2.131564e-01	0	0	3.797988e+00	1.657244e+01	NEIL3;BLM;CDC45;FANCA;KPNA2
GO_Biological_Process_2021	regulation of transport (GO:0051049)	2/37	1.471109e-02	2.374532e-01	0	0	1.158309e+01	4.887084e+01	YRDC;REEP6
GO_Biological_Process_2021	histone exchange (GO:0043486)	2/38	1.547831e-02	2.374532e-01	0	0	1.126077e+01	4.693844e+01	NASP;CENPA
GO_Biological_Process_2021	DNA replication-independent nucleosome assembly (GO:0006336)	2/39	1.626241e-02	2.374532e-01	0	0	1.095587e+01	4.512614e+01	NASP;CENPA
GO_Biological_Process_2021	regulation of programmed cell death (GO:0043067)	4/194	1.634868e-02	2.374532e-01	0	0	4.322368e+00	1.778053e+01	FANK1;BNIP3L;BIRC5;LRP8
GO_Biological_Process_2021	regulation of DNA recombination (GO:0000018)	2/42	1.871406e-02	2.374532e-01	0	0	1.013265e+01	4.031256e+01	BLM;KPNA2
GO_Biological_Process_2021	ceramide biosynthetic process (GO:0046513)	2/42	1.871406e-02	2.374532e-01	0	0	1.013265e+01	4.031256e+01	SPTLC2;DEGS2
GO_Biological_Process_2021	alpha-amino acid metabolic process (GO:1901605)	2/46	2.220804e-02	2.374532e-01	0	0	9.209647e+00	3.506390e+01	ASNS;SLC25A13
GO_Biological_Process_2021	positive regulation of nucleocytoplasmic transport (GO:0046824)	2/46	2.220804e-02	2.374532e-01	0	0	9.209647e+00	3.506390e+01	PSEN1;GTSE1
GO_Biological_Process_2021	fatty acid metabolic process (GO:0006631)	3/124	2.433860e-02	2.374532e-01	0	0	5.055551e+00	1.878487e+01	CROT;LPIN1;CRAT
GO_Biological_Process_2021	anion homeostasis (GO:0055081)	1/5	2.475353e-02	2.374532e-01	0	0	5.024242e+01	1.858360e+02	CYBRD1
GO_Biological_Process_2021	reelin-mediated signaling pathway (GO:0038026)	1/5	2.475353e-02	2.374532e-01	0	0	5.024242e+01	1.858360e+02	LRP8
GO_Biological_Process_2021	regulation of core promoter binding (GO:1904796)	1/5	2.475353e-02	2.374532e-01	0	0	5.024242e+01	1.858360e+02	PSEN1
GO_Biological_Process_2021	peptidyl-lysine oxidation (GO:0018057)	1/5	2.475353e-02	2.374532e-01	0	0	5.024242e+01	1.858360e+02	LOXL1
GO_Biological_Process_2021	regulation of protein kinase C activity (GO:1900019)	1/5	2.475353e-02	2.374532e-01	0	0	5.024242e+01	1.858360e+02	WNT5A
GO_Biological_Process_2021	gamma-aminobutyric acid metabolic process (GO:0009448)	1/5	2.475353e-02	2.374532e-01	0	0	5.024242e+01	1.858360e+02	ABAT
GO_Biological_Process_2021	glomerular visceral epithelial cell migration (GO:0090521)	1/5	2.475353e-02	2.374532e-01	0	0	5.024242e+01	1.858360e+02	ANLN
GO_Biological_Process_2021	positive regulation of protein kinase C activity (GO:1900020)	1/5	2.475353e-02	2.374532e-01	0	0	5.024242e+01	1.858360e+02	WNT5A
GO_Biological_Process_2021	positive regulation of protein localization to synapse (GO:1902474)	1/5	2.475353e-02	2.374532e-01	0	0	5.024242e+01	1.858360e+02	WNT5A
GO_Biological_Process_2021	mitotic cytokinesis (GO:0000281)	2/49	2.499119e-02	2.374532e-01	0	0	8.620495e+00	3.180301e+01	ANLN;CENPA
GO_Biological_Process_2021	regulation of complement activation (GO:0030449)	2/50	2.594896e-02	2.374532e-01	0	0	8.440476e+00	3.082144e+01	C4A;CFB
GO_Biological_Process_2021	G2/M transition of mitotic cell cycle (GO:0000086)	3/130	2.748601e-02	2.374532e-01	0	0	4.815245e+00	1.730637e+01	CCNA2;FOXM1;CDC25A
GO_Biological_Process_2021	amide biosynthetic process (GO:0043604)	2/52	2.790858e-02	2.374532e-01	0	0	8.102041e+00	2.899576e+01	SPTLC2;DEGS2
GO_Biological_Process_2021	fatty acid beta-oxidation (GO:0006635)	2/52	2.790858e-02	2.374532e-01	0	0	8.102041e+00	2.899576e+01	CROT;CRAT
GO_Biological_Process_2021	cell cycle G2/M phase transition (GO:0044839)	3/131	2.803072e-02	2.374532e-01	0	0	4.777384e+00	1.707654e+01	CCNA2;FOXM1;CDC25A
GO_Biological_Process_2021	regulation of DNA replication (GO:0006275)	2/53	2.891008e-02	2.374532e-01	0	0	7.942777e+00	2.814575e+01	CCNA2;BLM
GO_Biological_Process_2021	regulation of immune effector process (GO:0002697)	2/53	2.891008e-02	2.374532e-01	0	0	7.942777e+00	2.814575e+01	C4A;CFB
GO_Biological_Process_2021	positive regulation of macroautophagy (GO:0016239)	2/53	2.891008e-02	2.374532e-01	0	0	7.942777e+00	2.814575e+01	BNIP3L;SPTLC2
GO_Biological_Process_2021	regulation of adiponectin secretion (GO:0070163)	1/6	2.963096e-02	2.374532e-01	0	0	4.019192e+01	1.414328e+02	C1QTNF3
GO_Biological_Process_2021	cellular triglyceride homeostasis (GO:0035356)	1/6	2.963096e-02	2.374532e-01	0	0	4.019192e+01	1.414328e+02	C1QTNF3
GO_Biological_Process_2021	free ubiquitin chain polymerization (GO:0010994)	1/6	2.963096e-02	2.374532e-01	0	0	4.019192e+01	1.414328e+02	UBE2S
GO_Biological_Process_2021	regulation of tooth mineralization (GO:0070170)	1/6	2.963096e-02	2.374532e-01	0	0	4.019192e+01	1.414328e+02	ASPN
GO_Biological_Process_2021	positive regulation of natural killer cell mediated cytotoxicity directed against tumor cell target (GO:0002860)	1/6	2.963096e-02	2.374532e-01	0	0	4.019192e+01	1.414328e+02	PVR
GO_Biological_Process_2021	positive regulation of natural killer cell mediated immune response to tumor cell (GO:0002857)	1/6	2.963096e-02	2.374532e-01	0	0	4.019192e+01	1.414328e+02	PVR
GO_Biological_Process_2021	mineralocorticoid biosynthetic process (GO:0006705)	1/6	2.963096e-02	2.374532e-01	0	0	4.019192e+01	1.414328e+02	CYP21A2
GO_Biological_Process_2021	mitochondrial protein catabolic process (GO:0035694)	1/6	2.963096e-02	2.374532e-01	0	0	4.019192e+01	1.414328e+02	BNIP3L
GO_Biological_Process_2021	protein K27-linked ubiquitination (GO:0044314)	1/6	2.963096e-02	2.374532e-01	0	0	4.019192e+01	1.414328e+02	UBE2S
GO_Biological_Process_2021	protein K29-linked ubiquitination (GO:0035519)	1/6	2.963096e-02	2.374532e-01	0	0	4.019192e+01	1.414328e+02	UBE2S
GO_Biological_Process_2021	regulation of humoral immune response (GO:0002920)	2/54	2.992584e-02	2.374532e-01	0	0	7.789639e+00	2.733410e+01	C4A;CFB
GO_Biological_Process_2021	ceramide metabolic process (GO:0006672)	2/55	3.095567e-02	2.374532e-01	0	0	7.642280e+00	2.655844e+01	SPTLC2;DEGS2
GO_Biological_Process_2021	interstrand cross-link repair (GO:0036297)	2/55	3.095567e-02	2.374532e-01	0	0	7.642280e+00	2.655844e+01	NEIL3;FANCA
GO_Biological_Process_2021	supramolecular fiber organization (GO:0097435)	5/351	3.151220e-02	2.374532e-01	0	0	2.974445e+00	1.028379e+01	TSPAN15;KIF18B;EVL;SHROOM1;LOXL1
GO_Biological_Process_2021	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)	2/56	3.199942e-02	2.374532e-01	0	0	7.500378e+00	2.581658e+01	MUC1;GTSE1
GO_Biological_Process_2021	regulation of small GTPase mediated signal transduction (GO:0051056)	3/141	3.379286e-02	2.374532e-01	0	0	4.428956e+00	1.500311e+01	FGD3;ARHGAP11A;FOXM1
GO_Biological_Process_2021	cellular iron ion homeostasis (GO:0006879)	2/58	3.412802e-02	2.374532e-01	0	0	7.231778e+00	2.442632e+01	SLC40A1;CYBRD1
GO_Biological_Process_2021	membrane lipid biosynthetic process (GO:0046467)	2/58	3.412802e-02	2.374532e-01	0	0	7.231778e+00	2.442632e+01	SPTLC2;DEGS2
GO_Biological_Process_2021	amino-acid betaine metabolic process (GO:0006577)	1/7	3.448425e-02	2.374532e-01	0	0	3.349158e+01	1.127746e+02	CROT
GO_Biological_Process_2021	aspartate transmembrane transport (GO:0015810)	1/7	3.448425e-02	2.374532e-01	0	0	3.349158e+01	1.127746e+02	SLC25A13
GO_Biological_Process_2021	negative regulation of low-density lipoprotein receptor activity (GO:1905598)	1/7	3.448425e-02	2.374532e-01	0	0	3.349158e+01	1.127746e+02	PSEN1
GO_Biological_Process_2021	negative regulation of ruffle assembly (GO:1900028)	1/7	3.448425e-02	2.374532e-01	0	0	3.349158e+01	1.127746e+02	EVL
GO_Biological_Process_2021	negative regulation of stress-activated protein kinase signaling cascade (GO:0070303)	1/7	3.448425e-02	2.374532e-01	0	0	3.349158e+01	1.127746e+02	FOXM1
GO_Biological_Process_2021	Notch receptor processing, ligand-dependent (GO:0035333)	1/7	3.448425e-02	2.374532e-01	0	0	3.349158e+01	1.127746e+02	PSEN1
