"column"	"row"	"left-p-value"	"p-value-log-sum"	"right-p-value"	"two-tail-p-value"	"corrected-left-p-value"	"corrected-right-p-value"	"corrected-two-tail-p-value"	"mean-group1"	"mean-group2"	"N"	"N-group1"	"N-group2"	"U1"	"U2"
No VS Yes	A1BG	0.017933040411648005	-1.738487172838851	0.982066959588352	0.03586608082329601	0.09938035476425114	1	0.11223021021749122	-0.13808013439065112	0.030532801229508178	843	599	244	66350	79806
No VS Yes	A1CF	0.5	0	0.5	1	1	1	1	0	0	840	597	243	72535.5	72535.5
No VS Yes	A2BP1	0.5	0	0.5	1	1	1	1	0	0	836	595	241	71697.5	71697.5
No VS Yes	A2LD1	0.8870108648251055	0.8948922549122781	0.1129891351748945	0.225978270349789	1	0.4923822941528711	0.5023739051841207	-0.016986644407345576	-0.07543032786885248	843	599	244	76960	69196
No VS Yes	A2M	0.6089765493968208	0.19239776520084548	0.3910234506031792	0.7820469012063584	1	1	1	0.04178631051752922	-0.02239754098360654	843	599	244	73965	72191
No VS Yes	A2ML1	0.5	0	0.5	1	1	1	1	0	0	828	585	243	71077.5	71077.5
No VS Yes	A4GALT	0.07834034981916954	-1.070585068196529	0.9216596501808305	0.15668069963833908	0.33487336024023867	1	0.37477199395826216	-0.10825542570951588	-0.006516393442622994	843	599	244	68537	77619
No VS Yes	A4GNT	0.5	0	0.5	1	1	1	1	0	0	839	597	242	72237	72237
No VS Yes	AAA1	0.5	0	0.5	1	1	1	1	0	0	839	596	243	72414	72414
No VS Yes	AAAS	2.9953704782093027E-6	-5.5235481539719995	0.9999970046295218	5.990740956418605E-6	6.418156070922288E-5	1	7.402870131530741E-5	-0.05482470784641068	0.08141393442622949	843	599	244	58564.5	87591.5
No VS Yes	AACS	0.7676367981369316	0.518988433065387	0.2323632018630683	0.4647264037261366	1	0.8298045854125031	0.8668738492061044	0.03474123539232059	0.015573770491803307	843	599	244	75422	70734
No VS Yes	AACSL	0.5	0	0.5	1	1	1	1	0	0	840	596	244	72712	72712
No VS Yes	AADAC	0.14383124003138287	-0.774706152466673	0.8561687599686172	0.28766248006276574	0.5444639008210085	1	0.604423422998451	-0.009156829679595347	0.16149999999999987	833	593	240	67816	74504
No VS Yes	AADACL2	0.5	0	0.5	1	1	1	1	0	0	834	594	240	71280	71280
No VS Yes	AADACL4	0.5	0	0.5	1	1	1	1	0	0	840	596	244	72712	72712
No VS Yes	AADAT	0.9999972790596907	5.56527980377361	2.7209403092864903E-6	5.441880618572981E-6	1	7.605569366574872E-5	6.790520597958458E-5	0.271719532554257	-0.21846311475409835	843	599	244	87656.5	58499.5
No VS Yes	AAGAB	9.026338113723442E-4	-3.0440962165504377	0.9990973661886277	0.0018052676227446884	0.008063555096157062	1	0.009245020947139611	-0.0845742904841402	0.06319672131147544	843	599	244	63073	83083
No VS Yes	AAK1	0.036193046108597526	-1.4253649193300977	0.9638069538914025	0.07238609221719505	0.17814147356398352	1	0.20079109734682596	-0.051619365609348926	0.005635245901639348	843	599	244	67317.5	78838.5
No VS Yes	AAMP	0.44585411656705315	-0.09443133051891539	0.5541458834329469	0.8917082331341063	1	1	1	-0.04575959933222034	-0.014364754098360653	843	599	244	72641.5	73514.5
No VS Yes	AANAT	0.5	0	0.5	1	1	1	1	0	0	827	586	241	70613	70613
