gene	mean_A	mean_B	log2FC	p_ttest	p_mannwhitney	p_ttest_fdr	p_mannwhitney_fdr
NAT1	-1.096836393989983	0.9381557377049181	2.034992131694901	2.4206137893008724e-26	1.0569945005486911e-22	1.947383793492552e-22	1.0659261040783276e-18
NASP	-1.096836393989983	0.9381557377049181	2.034992131694901	2.4206137893008724e-26	1.0569945005486911e-22	1.947383793492552e-22	1.0659261040783276e-18
TSPAN15	-0.4071644295302014	0.2790625	0.6862269295302014	4.665582936616065e-25	4.3177069662794107e-20	2.502307648338416e-21	1.7416766360577885e-16
DEGS2	-1.0244556113902847	0.3887551867219917	1.4132107981122766	1.141645269600738e-23	1.4602533457832553e-15	4.592268096968969e-20	8.924802948818932e-13
REEP6	-0.9443238731218699	0.37372950819672124	1.3180533813185913	1.6470537925193206e-23	2.0217884753169192e-17	5.300219104327174e-20	2.787574509545432e-14
YRDC	0.1437896494156928	-0.21499999999999997	-0.3587896494156928	1.499549490876321e-22	1.3933632585016823e-20	3.6996385262103414e-19	9.36758118690681e-17
C4A	-0.8912020033388979	0.5272745901639347	1.4184765935028327	1.6095382028261274e-22	1.738582499121019e-18	3.6996385262103414e-19	4.383183803096478e-15
ABAT	-0.7056343906510852	0.5605809128630704	1.2662153035141557	2.3141987272052447e-22	1.2401907789250109e-18	4.3272245482871775e-19	3.5733439743055065e-15
NFIA	-0.46277128547579305	0.2505532786885245	0.7133245641643176	2.4204487840015287e-22	2.0731626577014963e-17	4.3272245482871775e-19	2.787574509545432e-14
GALNT10	-0.39390651085141903	0.2971516393442624	0.6910581501956814	4.2780978591615405e-22	1.8783256743720728e-19	6.883459455390919e-19	6.313991754401723e-16
SIDT1	-0.778171953255426	0.2222745901639342	1.0004465434193601	1.2995842328341557e-21	5.423532922532603e-10	1.9009373005728696e-18	2.707604839469309e-08
C10orf26	-0.1735141903171953	0.2081967213114754	0.3817109116286707	4.410900665035673e-21	2.041923837886866e-20	5.914282641701998e-18	1.029589047158505e-16
EPB41L4A	-0.46093489148580974	0.23676229508196717	0.6976971865677769	1.1482263057341284e-20	1.3620565001412932e-14	1.2383965190991502e-17	4.878905291752763e-12
LRP8	0.38395659432387313	-0.5363729508196722	-0.9203295451435454	1.1570577851973913e-20	2.018608813589953e-18	1.2383965190991502e-17	4.523702351255085e-15
CRAT	-0.41637729549248753	0.5468237704918032	0.9632010659842907	1.1584661913483198e-20	8.723490232878432e-17	1.2383965190991502e-17	9.774670805940283e-14
FOXA1	-1.27932387312187	-0.019405737704918095	1.2599181354169517	1.2314695031439653e-20	1.446025552127634e-07	1.2383965190991502e-17	2.9312487029296113e-06
C14orf45	-0.23748747913188648	0.38239754098360657	0.6198850201154931	7.005657628417125e-20	2.0704666975924063e-17	6.630648896543032e-17	2.787574509545432e-14
MLPH	-1.0792153589315527	0.05170081967213098	1.1309161786036837	1.3884387722813184e-19	1.0005859897575269e-06	1.2411099914448008e-16	1.4815211093612077e-05
LRG1	-1.0926839464882945	0.4538319672131147	1.546515913701409	1.8786271414093329e-19	1.9007848150357007e-15	1.5909005634355878e-16	1.0953408266987157e-12
RHBDF2	0.23691986644407348	-0.2533196721311474	-0.4902395385752209	2.854917367585823e-19	2.3043726128933552e-17	2.2967810222227946e-16	2.90480570184038e-14
NTN4	-0.6268113522537563	0.5689344262295083	1.1957457784832646	3.0243084513942324e-19	2.6903215860672868e-18	2.3171963325206287e-16	5.42610960693911e-15
GNG4	0.9369495798319329	-0.3615637860082304	-1.2985133658401633	3.4716718025375864e-19	4.170719463361518e-13	2.539054513764989e-16	7.79512011146093e-11
GOLM1	-0.3009432387312187	0.40178423236514516	0.7027274710963638	4.324706003526363e-19	3.730834573771424e-18	3.023275657007689e-16	6.270600209866321e-15
C1QTNF3	-0.2959432387312187	0.6946926229508197	0.9906358616820383	4.509547282050002e-19	2.958467078441669e-17	3.023275657007689e-16	3.509960147358237e-14
LPIN1	0.33112687813021696	-0.219672131147541	-0.5507990092777579	1.066726661811359e-18	2.639845451141091e-13	6.865452795417907e-16	5.477995521954183e-11
C14orf174	-0.3411936560934892	0.45288934426229505	0.7940830003557842	1.5207607440714737e-18	3.145791148965743e-16	9.411169373888467e-16	3.021307699213813e-13
CCDC159	-0.2515358931552588	0.21852459016393444	0.47006048331919326	2.186856621581094e-18	4.206825842660642e-13	1.3032045570829556e-15	7.79512011146093e-11
TMEM63C	-0.6043155258764606	0.28012295081967226	0.8844384766961328	3.474095652623196e-18	1.2697659184475945e-10	1.9963642518109726e-15	7.953387828934637e-09
PIH1D2	-0.23362270450751257	0.48446721311475405	0.7180899176222666	4.1086568075300984e-18	3.3331052099814127e-18	2.279596139074458e-15	6.111399907283191e-15
FANK1	-0.37065108514190315	0.4617418032786885	0.8323928884205917	5.123152647763246e-18	4.026662819338272e-16	2.7477175367503546e-15	3.3639822737679676e-13
PSEN1	-0.11060100166944913	0.14073770491803278	0.2513387065874819	6.006227984515722e-18	7.812824826261441e-16	3.1174260732534826e-15	5.627745140030963e-13
SLC7A8	-0.6964691151919867	0.13088114754098362	0.8273502627329703	6.856223196845252e-18	5.249059127757049e-10	3.4473947261637534e-15	2.6378636117255946e-08
CTPS	0.2265859766277129	-0.2563934426229508	-0.4829794192506637	9.978337740442286e-18	6.203041700442044e-14	4.86519558314292e-15	1.7138239459755563e-11
SPDEF	-0.8933388981636058	0.06922131147541001	0.9625602096390158	1.1279062716115048e-17	9.907561063133455e-05	5.1765199074216065e-15	0.0007400948114160692
C9orf152	-0.7904173622704508	0.16559426229508198	0.9560116245655328	1.1547350444464035e-17	1.9814809484477227e-08	5.1765199074216065e-15	5.404974567125675e-07
RHOB	-0.37131886477462434	0.1876434426229509	0.5589623073975752	1.1582020924001107e-17	1.301261005487149e-10	5.1765199074216065e-15	8.100144384327241e-09
DOCK3	0.7625709515859767	-0.19743852459016395	-0.9600094761761406	1.7597885771334993e-17	1.2040422626271849e-11	7.65270221785892e-15	1.0793034842190086e-09
UGT8	0.7039966555183947	-0.32647540983606543	-1.0304720653544601	2.4005300479906533e-17	1.814822349948914e-09	1.0164349597939373e-14	7.413717950993923e-08
NOSTRIN	-0.6982637729549248	0.30180327868852463	1.0000670516434496	2.8453027528069306e-17	7.14086134182657e-14	1.1738697767349618e-14	1.8950530579381592e-11
MAD2L1	0.1926711185308848	-0.4510245901639344	-0.6436957086948192	2.945852694897127e-17	4.620110978806683e-16	1.1849692465223693e-14	3.58396224352123e-13
TMC5	-0.9248664440734555	0.4775000000000001	1.4023664440734556	3.0503684703722227e-17	5.663946651330167e-15	1.1970836265436357e-14	2.5962759093335938e-12
CCNE1	0.5220784641068447	-0.39741803278688537	-0.91949649689373	3.4370630491535195e-17	1.0690463269583443e-13	1.288543830174209e-14	2.601298880396834e-11
EVL	-0.2968363939899833	0.44678278688524586	0.7436191808752292	3.44359134229279e-17	6.507002139982402e-16	1.288543830174209e-14	4.860730598566854e-13
CHRNA5	0.3890484140233723	-0.6668647540983605	-1.0559131681217329	3.7977849562795976e-17	1.143124454264724e-15	1.38878090787588e-14	7.685225706021739e-13
DCAF5	-0.1556510851419032	0.10002049180327868	0.2556715769451819	7.319104146280048e-17	2.0845131878854338e-13	2.6169863491921326e-14	4.5698420093979686e-11
UBXN10	-0.5953756260434057	0.37897540983606554	0.9743510358794711	7.941370798307966e-17	4.532595105464517e-12	2.777753394451634e-14	4.836926491117135e-10
FANCA	0.23286316110183636	-0.5373155225409838	-0.7701786836428202	9.81598925770378e-17	6.954075504996057e-15	3.3604099394990175e-14	3.049059757831858e-12
C9orf40	0.26006677796327216	-0.21768442622950818	-0.47775120419278033	1.228020376356733e-16	1.205022367409727e-14	4.116426636579132e-14	4.585678514771091e-12
CFB	-0.791619365609349	0.4513729508196722	1.2429923164290213	1.5775774843910118e-16	1.515166244979269e-15	5.1238153788023825e-14	8.988055292643198e-13
LIMA1	-0.26979131886477464	0.1552663934426229	0.42505771230739753	1.5922359784967006e-16	4.1760446158484734e-12	5.1238153788023825e-14	4.672994711465555e-10
CYP21A2	-0.518864774624374	0.5750819672131149	1.0939467418374889	1.6614501242704112e-16	2.3906437124412706e-16	5.241712254806062e-14	2.537731212433052e-13
FOXP1	-0.22401502504173623	0.17168032786885246	0.39569535291058866	2.666457209259197e-16	1.1674790295316463e-11	8.250633941727015e-14	1.0512002029742755e-09
TGFB3	-0.33061769616026704	0.28752049180327877	0.6181381879635458	3.226025103157809e-16	1.7531646815782686e-12	9.793725266001726e-14	2.3891607069427094e-10
IFRD1	0.32146076794657763	-0.13928278688524592	-0.46074355483182355	3.349147799004149e-16	1.453220611829281e-10	9.979220015921622e-14	8.908816571423942e-09
ME2	0.1643405676126878	-0.23223360655737701	-0.3965741741700648	3.7001408201923383e-16	1.5951416028042832e-13	1.0824593781253587e-13	3.614877638984223e-11
ASNS	0.27319699499165273	-0.32056016597510373	-0.5937571609667565	4.0471178208596127e-16	3.4669000862615517e-16	1.1628236738862708e-13	3.178359447264056e-13
SYT17	-0.7718948247078464	0.23133196721311475	1.0032267919209612	4.130786256374998e-16	7.624156057818983e-13	1.1660412432469075e-13	1.1649363903799322e-10
WDR52	-0.31642737896494155	0.2904918032786885	0.6069191822436301	4.206168861055198e-16	4.0944892806993804e-14	1.1668492581789334e-13	1.2144375632709677e-11
FAM72B	0.21033388981636061	-0.5692622950819672	-0.7795961848983278	4.4314648547674015e-16	1.3624093689480996e-15	1.208513042596737e-13	8.587010800723195e-13
CDCA8	0.23244574290484132	-0.43225409836065576	-0.6646998412654971	5.292180967593986e-16	1.0850596392173969e-14	1.419186529476454e-13	4.350591527888133e-12
CEBPG	0.1725118923205342	-0.1369678770491803	-0.3094797693697145	8.0690260416411705e-16	4.251391800588538e-13	2.1158338266424055e-13	7.79512011146093e-11
SCUBE2	-0.9949582637729548	0.6470081967213116	1.6419664604942663	8.152995478671792e-16	1.0704933664184503e-13	2.1158338266424055e-13	2.601298880396834e-11
DNAJC22	-0.5165551839464882	0.3942418032786886	0.9107969872251769	8.420198173375491e-16	4.3137620436512136e-13	2.1504918826922487e-13	7.838222221477597e-11
TC2N	-0.31298831385642734	0.2802254098360656	0.5932137236924929	9.087366695495212e-16	5.0686906945161e-13	2.284620783289343e-13	8.967580931376774e-11
MUC1	-0.5924207011686143	0.485860655737705	1.0782813569063192	9.784597811433799e-16	2.970727931987144e-15	2.42206428901492e-13	1.4992282020575122e-12
GTPBP4	0.23743739565943237	-0.10161885245901642	-0.3390562481184488	1.0067463922812699e-15	1.8763771592963686e-11	2.4543256745160045e-13	1.5703174658028406e-09
SLC39A9	-0.15176126878130225	0.1411270491803278	0.29288831796163006	1.0405520911063584e-15	4.1654083043248984e-12	2.4988780814778073e-13	4.672994711465555e-10
FDXACB1	-0.09784641068447412	0.32760245901639345	0.4254488697008676	1.1639358161031456e-15	3.047665044591105e-15	2.7540775413381784e-13	1.4992282020575122e-12
